zone,Date,KWH,unit
NE,2015-01-31,2081.2637484416123,7219
NE,2016-01-31,2442.2092044338433,7127
NE,2017-01-31,2285.6873212583414,7343
NE,2018-01-31,2967.9087541431077,5129
NE,2015-02-28,2082.8177269478197,6995
NE,2016-02-28,2321.759142150124,7274
NE,2017-02-28,2363.7881101718026,7334
NE,2018-02-28,3017.0945654306456,5097
NE,2014-03-31,1743.3191194794406,7223
NE,2015-03-31,1985.158350515464,7275
NE,2016-03-31,2835.524424972618,4565
NE,2017-03-31,2073.845872076641,7098
NE,2014-04-30,2438.249676584735,3865
NE,2015-04-30,2197.3234804329727,7206
NE,2016-04-30,2384.3445831407,6489
NE,2017-04-30,2341.120487106017,6980
NE,2014-05-31,1970.3947840485719,7247
NE,2015-05-31,2482.0948714423207,7273
NE,2016-05-31,2417.027979701001,7291
NE,2017-05-31,2460.6737073103827,7291
NE,2014-06-30,2332.5371672872707,7251
NE,2015-06-30,3362.257332811889,5114
NE,2016-06-30,4236.8401606425705,4980
NE,2017-06-30,3363.514064015519,5155
NE,2014-07-31,3218.0580868063053,4631
NE,2015-07-31,3130.3935172413794,7250
NE,2016-07-31,3710.470539873938,7298
NE,2017-07-31,2919.41241473397,7330
NE,2014-08-31,3308.948755186722,4820
NE,2015-08-31,3293.0242497726585,6598
NE,2016-08-31,5046.156830712681,4897
NE,2017-08-31,3643.8655152338442,5153
NE,2014-09-30,2728.14961853631,7078
NE,2015-09-30,3472.27062094532,5395
NE,2016-09-30,3809.012013651877,7325
NE,2017-09-30,2961.557807399347,7352
NE,2014-10-31,2749.2278095238094,5250
NE,2015-10-31,3072.078056167401,7264
NE,2016-10-31,3449.605695048394,7129
NE,2017-10-31,2684.427307378165,7346
NE,2014-11-30,2305.666819431714,4364
NE,2015-11-30,2669.135971492873,5332
NE,2016-11-30,2978.3472734727347,7317
NE,2017-11-30,2614.309818875119,7343
NE,2014-12-31,2831.7245186136074,3895
NE,2015-12-31,2455.5242531795325,6762
NE,2016-12-31,2823.258855585831,6973
NE,2017-12-31,2332.089438897483,7111
NW,2015-01-31,1406.279636279094,38711
NW,2016-01-31,1398.1927195409367,39036
NW,2017-01-31,1309.88426472435,39815
NW,2018-01-31,1463.6104507181774,40380
NW,2015-02-28,1373.1164609903444,38734
NW,2016-02-28,1363.2508036124293,39198
NW,2017-02-28,1231.3558225276518,39871
NW,2018-02-28,1435.0274868137583,40383
NW,2014-03-31,1114.9083767597417,38571
NW,2015-03-31,1234.8044560200108,38779
NW,2016-03-31,1235.2965181484503,39232
NW,2017-03-31,1095.177735990974,39885
NW,2014-04-30,1111.20940425863,38557
NW,2015-04-30,1338.6289005127676,38809
NW,2016-04-30,1338.4764499210755,39278
NW,2017-04-30,1362.448098663926,39893
NW,2014-05-31,1285.5267144001862,38687
NW,2015-05-31,1446.6500694766096,38862
NW,2016-05-31,1380.2373536895675,39300
NW,2017-05-31,1367.1431254695717,39930
NW,2014-06-30,1527.8221473902345,38605
NW,2015-06-30,1687.6069774621797,38868
NW,2016-06-30,1993.3167735042734,39312
NW,2017-06-30,1705.3599691802954,40234
NW,2014-07-31,1770.3647520864015,38703
NW,2015-07-31,1990.1339634271626,38936
NW,2016-07-31,2334.1021097260655,39389
NW,2017-07-31,1865.4073394950071,40357
NW,2014-08-31,1823.7540551028328,38655
NW,2015-08-31,1888.063264834911,38979
NW,2016-08-31,2150.9590492119,39462
NW,2017-08-31,1691.1287550459397,40379
NW,2014-09-30,1858.060267452989,38661
NW,2015-09-30,1838.9055465722133,38961
NW,2016-09-30,2346.7653066383536,39558
NW,2017-09-30,2085.952720608267,40377
NW,2014-10-31,1509.508354888774,38660
NW,2015-10-31,1628.3677975228863,38997
NW,2016-10-31,1964.4238776591717,39627
NW,2017-10-31,1525.1158533564528,40370
NW,2014-11-30,1261.712344368804,38633
NW,2015-11-30,1342.2662682432606,38987
NW,2016-11-30,1516.1230098750505,39696
NW,2017-11-30,1386.6850645329105,40367
NW,2014-12-31,1243.2984696515355,38684
NW,2015-12-31,1351.814929656869,39023
NW,2016-12-31,1415.4310522739286,39733
NW,2017-12-31,1215.2000099002548,40403
SE,2015-01-31,1518.9938792739551,4738
SE,2016-01-31,1603.8194415284484,4763
SE,2017-01-31,1434.7379612257662,4797
SE,2018-01-31,1920.0745212323063,4804
SE,2015-02-28,1494.4612787507913,4739
SE,2016-02-28,1447.9300758213985,4748
SE,2017-02-28,1299.1311612364243,4788
SE,2018-02-28,1280.4175,4800
SE,2014-03-31,1218.3154774507727,4723
SE,2015-03-31,1444.1433054393306,4780
SE,2016-03-31,1364.927414264675,4753
SE,2017-03-31,1376.7719700124949,4802
SE,2014-04-30,1487.3716240547353,2777
SE,2015-04-30,1468.698459590631,4739
SE,2016-04-30,1330.3105042016807,4760
SE,2017-04-30,1385.4153814089204,4798
SE,2014-05-31,1484.603356702783,4707
SE,2015-05-31,1576.8328755546165,4733
SE,2016-05-31,1553.9084448160536,4784
SE,2017-05-31,1711.180307436643,4814
SE,2014-06-30,1625.5818837505303,4714
SE,2015-06-30,1853.1198565098123,4739
SE,2016-06-30,2302.197318810222,4774
SE,2017-06-30,1830.5245046923878,4795
SE,2014-07-31,1993.7641388174807,4668
SE,2015-07-31,2009.402169289664,4702
SE,2016-07-31,2467.4382284382286,4719
SE,2017-07-31,1899.7646564404286,4759
SE,2014-08-31,1840.3899597542893,4721
SE,2015-08-31,1899.0372474747476,4752
SE,2016-08-31,2491.9256940096016,4791
SE,2017-08-31,1907.8716244287496,4814
SE,2014-09-30,1848.1923483407313,4731
